School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Federal Classification,Level,Title 1,Number Of Years Identified,Reason For Federal Classification
20242025,056,JEFFERSON,275,Jefferson County,014,Greenwood Elementary,275014,056275014,210299000000,GREC,909,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,027,Okolona Elementary,275027,056275027,210299000000,GREC,909,A1,TSI,Elementary School,Y,,African American
20242025,056,JEFFERSON,275,Jefferson County,031,Southern High,275031,056275031,210299000000,GREC,909,A1,ATSI,High School,Y,4,Disability
20242025,056,JEFFERSON,275,Jefferson County,041,Newburg Middle,275041,056275041,210299000000,GREC,909,A1,ATSI,Middle School,Y,4,African American; English Learners plus Monitored; Economically Disadvantaged; Disability
20242025,056,JEFFERSON,275,Jefferson County,049,Farnsley Middle,275049,056275049,210299000000,GREC,909,A1,ATSI,Middle School,Y,4,African American; Disability
20242025,056,JEFFERSON,275,Jefferson County,051,Waggener High,275051,056275051,210299000000,GREC,909,A1,TSI,High School,Y,,Disability
20242025,056,JEFFERSON,275,Jefferson County,057,Fairdale High,275057,056275057,210299000000,GREC,909,A1,CSI,High School,Y,1,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,065,Jeffersontown High,275065,056275065,210299000000,GREC,909,A1,TSI,High School,Y,,Disability
20242025,056,JEFFERSON,275,Jefferson County,066,Wilkerson Elementary School,275066,056275066,210299000000,GREC,909,A1,TSI,Elementary School,Y,,Disability
20242025,056,JEFFERSON,275,Jefferson County,072,Watterson Elementary,275072,056275072,210299000000,GREC,909,A1,ATSI,Elementary School,Y,4,Disability
20242025,056,JEFFERSON,275,Jefferson County,073,Seneca High,275073,056275073,210299000000,GREC,909,A1,TSI,High School,Y,,English Learners plus Monitored
20242025,056,JEFFERSON,275,Jefferson County,076,Indian Trail Elementary,275076,056275076,210299000000,GREC,909,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,077,Westport Middle,275077,056275077,210299000000,GREC,909,A1,ATSI,Middle School,Y,4,African American; Disability
20242025,056,JEFFERSON,275,Jefferson County,079,Kerrick Elementary,275079,056275079,210299000000,GREC,909,A1,CSI,Elementary School,Y,4,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,081,Rangeland Elementary,275081,056275081,210299000000,GREC,909,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,083,Cochrane Elementary,275083,056275083,210299000000,GREC,909,A1,TSI,Elementary School,Y,,Disability
20242025,056,JEFFERSON,275,Jefferson County,084,Western High,275084,056275084,210299000000,GREC,909,A1,ATSI,High School,Y,3,Disability
20242025,056,JEFFERSON,275,Jefferson County,090,Thomas Jefferson Middle,275090,056275090,210299000000,GREC,909,A1,CSI,Middle School,Y,5,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,092,Crums Lane Elementary,275092,056275092,210299000000,GREC,909,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,097,Shacklette Elementary,275097,056275097,210299000000,GREC,909,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,099,Minors Lane Elementary,275099,056275099,210299000000,GREC,909,A1,TSI,Elementary School,Y,,Disability
20242025,056,JEFFERSON,275,Jefferson County,100,Doss High,275100,056275100,210299000000,GREC,909,A1,CSI,High School,Y,1,Bottom 5%
